,number,value,datetime_start,datetime_complete,params_decoder.num_layers,params_encoder.num_layers,params_transformer.d_model,state
0,0,20.862515625,2020-04-05 19:24:06.814435,2020-04-05 19:43:25.199970,1,4,64,COMPLETE
1,1,26.699404296875,2020-04-05 19:43:25.200849,2020-04-05 20:15:42.701123,2,1,256,COMPLETE
2,2,22.206134765625,2020-04-05 20:15:42.702120,2020-04-05 20:34:03.036938,4,2,128,COMPLETE
3,3,26.790349609375,2020-04-05 20:34:03.037998,2020-04-05 21:03:09.969741,4,4,256,COMPLETE
4,4,27.27504296875,2020-04-05 21:03:09.971196,2020-04-05 21:31:19.957990,4,3,256,COMPLETE
5,5,21.192158203125,2020-04-05 21:31:19.959409,2020-04-05 21:49:31.915191,2,2,64,COMPLETE
6,6,21.90311328125,2020-04-05 21:49:31.916713,2020-04-05 22:09:27.080725,1,2,128,COMPLETE
7,7,21.275173828125,2020-04-05 22:09:27.082375,2020-04-05 22:22:17.068518,2,1,64,COMPLETE
8,8,383.68653125,2020-04-05 22:22:17.070298,2020-04-05 22:22:46.064998,4,3,128,PRUNED
9,9,21439.002,2020-04-05 22:22:46.150777,2020-04-05 22:22:58.881962,2,2,256,PRUNED
10,10,20.747826171875,2020-04-05 22:22:58.957297,2020-04-05 22:42:35.241506,1,4,64,COMPLETE
11,11,20.990890625,2020-04-05 22:42:35.243550,2020-04-05 22:58:21.605893,1,4,64,COMPLETE
12,12,21.228521484375,2020-04-05 22:58:21.607984,2020-04-05 23:11:07.033712,1,4,64,COMPLETE
13,13,115.9363515625,2020-04-05 23:11:07.035955,2020-04-05 23:11:38.239704,3,4,64,PRUNED
14,14,288.6405625,2020-04-05 23:11:38.315733,2020-04-05 23:11:54.303135,1,3,64,PRUNED
15,15,69.1392421875,2020-04-05 23:11:54.380305,2020-04-05 23:12:41.080645,3,4,64,PRUNED
16,16,924.1040625,2020-04-05 23:12:41.157609,2020-04-05 23:12:49.489788,1,3,64,PRUNED
17,17,931.92925,2020-04-05 23:12:49.568552,2020-04-05 23:12:58.022067,1,4,64,PRUNED
18,18,84.035875,2020-04-05 23:12:58.100370,2020-04-05 23:13:36.269475,2,3,64,PRUNED
19,19,29.43346484375,2020-04-05 23:13:36.345009,2020-04-05 23:17:30.120229,3,4,64,PRUNED
20,20,6691.481,2020-04-05 23:17:30.196019,2020-04-05 23:17:39.427402,1,3,128,PRUNED
21,21,256.703125,2020-04-05 23:17:39.503897,2020-04-05 23:17:55.350531,1,4,64,PRUNED
22,22,183.649828125,2020-04-05 23:17:55.425956,2020-04-05 23:18:19.218994,1,4,64,PRUNED
23,23,20.845951171875,2020-04-05 23:18:19.307191,2020-04-05 23:32:20.949285,1,4,64,COMPLETE
24,24,168.603484375,2020-04-05 23:32:20.952239,2020-04-05 23:32:44.835228,2,4,64,PRUNED
25,25,259.818953125,2020-04-05 23:32:44.913493,2020-04-05 23:33:01.157831,1,3,64,PRUNED
26,26,256.676796875,2020-04-05 23:33:01.242072,2020-04-05 23:33:17.532259,2,4,64,PRUNED
27,27,267.065125,2020-04-05 23:33:17.611697,2020-04-05 23:33:35.811677,1,4,64,PRUNED
28,28,260.519359375,2020-04-05 23:33:35.893647,2020-04-05 23:33:54.265256,1,3,64,PRUNED
29,29,21320.01,2020-04-05 23:33:54.347197,2020-04-05 23:34:07.135072,2,4,256,PRUNED
30,30,273.218625,2020-04-05 23:34:07.226154,2020-04-05 23:34:25.286956,1,4,64,PRUNED
31,31,34.3971875,2020-04-05 23:34:25.368701,2020-04-05 23:37:17.477003,1,4,64,PRUNED
32,32,21.76082421875,2020-04-05 23:37:17.554438,2020-04-05 23:47:52.616257,1,1,64,PRUNED
33,33,279.24525,2020-04-05 23:47:52.693636,2020-04-05 23:48:08.551122,1,4,64,PRUNED
34,34,20608.074,2020-04-05 23:48:08.628609,2020-04-05 23:48:20.445801,2,4,256,PRUNED
35,35,6559.791,2020-04-05 23:48:20.526095,2020-04-05 23:48:29.701462,1,3,128,PRUNED
36,36,258.09059375,2020-04-05 23:48:29.778529,2020-04-05 23:48:45.457573,1,4,64,PRUNED
37,37,41.20865234375,2020-04-05 23:48:45.535804,2020-04-05 23:50:16.479531,2,4,64,PRUNED
38,38,299.30046875,2020-04-05 23:50:16.556640,2020-04-05 23:50:32.219569,1,3,64,PRUNED
39,39,6788.764,2020-04-05 23:50:32.297521,2020-04-05 23:50:41.321223,1,4,128,PRUNED
40,40,21515.292,2020-04-05 23:50:41.399413,2020-04-05 23:50:53.145437,2,2,256,PRUNED
41,41,257.28115625,2020-04-05 23:50:53.223907,2020-04-05 23:51:08.749089,2,2,64,PRUNED
42,42,257.859109375,2020-04-05 23:51:08.825753,2020-04-05 23:51:24.515061,3,2,64,PRUNED
43,43,275.64675,2020-04-05 23:51:24.603059,2020-04-05 23:51:40.521374,1,2,64,PRUNED
44,44,41.56485546875,2020-04-05 23:51:40.598516,2020-04-05 23:53:11.137276,2,1,64,PRUNED
45,45,51.2752109375,2020-04-05 23:53:11.214066,2020-04-05 23:54:18.169754,1,2,64,PRUNED
46,46,37.7549375,2020-04-05 23:54:18.250532,2020-04-05 23:56:25.637883,3,1,64,PRUNED
47,47,260.369359375,2020-04-05 23:56:25.716953,2020-04-05 23:56:41.448887,4,2,64,PRUNED
48,48,257.177703125,2020-04-05 23:56:41.527615,2020-04-05 23:56:57.046231,2,4,64,PRUNED
49,49,6657.704,2020-04-05 23:56:57.123566,2020-04-05 23:57:06.244609,1,3,128,PRUNED
